Content Type,Extracted Data,Extra Info / Link
H3,Top 5 Kurti Necklines That Work Perfectly For Office Wear For Women,
H3,Who Is Winning The War? | Ctrl Alt Defence Ep 40,
H3,Vishnu Som's Operation Sindoor Book Is Here! | CTRL ALT Defence Ep 39,
H3,"Ram Charan Reviews Adivi Sesh And Mrunal Thakur's Dacoit: ""Terrific""",
H3,Why Dhurandhar 2 Trainer Calls Katrina Kaif 'Hrithik Roshan's Female Version',
H3,Where Is Mayank Yadav? LSG Breaks Silence On The 156.7 Kmph LSG Star,
H3,Does 8 Glasses Of Water Really Clear Your Skin? Viral Post Sparks Debate,
H3,Bharat Coking Coal's IPO Creates History With 90 Lakh Applications,
H3,"1.3 Billion Globally Have Fatty Liver Disease, Says Lancet Study",
H3,"Hills, Beaches, Food And History: What A Tamil Nadu Holiday Looks Like",
H3,"AP Inter Results To Be Out At 10:31 AM, Here's How To Check Your Scores Via NDTV",
H3,"Review: Kinetic DX Is Back, But Not Like You Remember It",
Paragraph,"Analyses, Explainers, Exclusives",
Link,Notifications,https://www.ndtv.com/notifications?pfrom=home-ndtv_nav_wap
Link,Web Stories,https://www.ndtv.com/webstories?pfrom=home-ndtv_nav_wap
Link,TV Schedule,https://www.ndtv.com/tv-schedule?pfrom=home-ndtv_nav_wap
Link,CBSE Class 10 Result,https://www.ndtv.com/search?searchtext=CBSE-Class-10
Link,Iran-Israel War,https://www.ndtv.com/search?searchtext=Iran-War
Link,Assembly Elections 2026,https://www.ndtv.com/elections
Link,"Sanctioned Tanker Fails To Break Through US Blockade, Turns Back To Hormuz",https://www.ndtv.com/world-news/sanctioned-tanker-fails-to-break-through-us-blockade-turns-back-to-hormuz-11358598?pfrom=home-ndtv_topscroll
Link,Live Updates,https://www.ndtv.com/world-news/us-iran-war-news-live-updates-2nd-round-of-ceasefire-donald-trump-jd-vance-on-us-iran-mistrust-israel-lebanon-talks-pakistan-talks-strait-of-hormuz-11358654
Link,"Maharashtra Man Sexually Exploits 180 Minors, Shoots 350 Videos, Arrested",https://www.ndtv.com/india-news/maharashtra-man-sexually-exploits-180-minors-shoots-350-videos-arrested-11357933?pfrom=home-ndtv_topscroll
Link,"Switched Planes, Took Bus: Team Iran Claims Threats After Failed US Talks",https://www.ndtv.com/world-news/us-iran-war-news-iranian-delegations-return-from-pakistan-amid-security-threat-switched-planes-took-bus-train-11358680?pfrom=home-ndtv_topscroll
Link,"US Wants To Restart Talks With Iran, But It Has 2 Key Conditions",https://www.ndtv.com/world-news/us-iran-war-news-donald-trump-wants-to-restart-talks-with-iran-but-it-has-2-key-conditions-11358888?pfrom=home-ndtv_topscroll
